lemma	iztočnica	besedna vrsta	številka pomena	indikator
dneven	dneven	pridevnik	1	o dnevu kot 24-urni enoti
dneven	dneven	pridevnik	2	vsakodneven
dneven	dneven	pridevnik	3	o aktivnem delu dneva
dneven	dneven	pridevnik	4	podnevi
dneven	dneven	pridevnik	5	o živali
doktor	doktor	samostalnik	1	znanstveni naziv
doktor	doktor	samostalnik	2	zdravnik
doktor	doktor	samostalnik	3	o obvladovanju področja ali spretnosti
doživeti	doživeti	glagol	1	izkusiti; biti deležen;
doživeti	doživeti	glagol	2	o telesnih stanjih
doživeti	doživeti	glagol	3	zgoditi se
doživeti	doživeti	glagol	4	o čustvih
doživeti	doživeti	glagol	5	dočakati določeno starost
film	film	samostalnik	1	posneta zgodba
film	film	samostalnik	2	ustvarjalna dejavnost
film	film	samostalnik	3	trak za snemanje
film	film	samostalnik	4	tanek sloj
film	film	samostalnik	5	miselna predstava
izolirati	izolirati	glagol	1	pri bolezni
izolirati	izolirati	glagol	2	izločiti iz družbe
izolirati	izolirati	glagol	3	z zaščitnim materialom
izolirati	izolirati	glagol	4	izločiti snov
izolirati	izolirati	glagol	5	razločiti od celote
klik	klik	samostalnik	1	pri računalniku
klik	klik	samostalnik	2	zvok
klik	klik	samostalnik	3	miselni preskok
koncentracija	koncentracija	samostalnik	1	miselna zbranost
koncentracija	koncentracija	samostalnik	2	o količini snovi
koncentracija	koncentracija	samostalnik	3	zgoščenost
kos	kos	samostalnik	1	del celote
kos	kos	samostalnik	2	izdelek; primerek;
kos	kos	samostalnik	3	o določeni količini
kraljica	kraljica	samostalnik	1	vladarka
kraljica	kraljica	samostalnik	2	kraljeva žena
kraljica	kraljica	samostalnik	3	najpomembnejša predstavnica
kraljica	kraljica	samostalnik	4	zmagovalka tekmovanja
kraljica	kraljica	samostalnik	5	pomembna panoga ali disciplina
kraljica	kraljica	samostalnik	6	šahovska figura
kraljica	kraljica	samostalnik	7	samica
kraljica	kraljica	samostalnik	8	igralna karta
kralj	kralj	samostalnik	1	vladar
kralj	kralj	samostalnik	2	najpomembnejši predstavnik
kralj	kralj	samostalnik	3	šahovska figura
kralj	kralj	samostalnik	4	igralna karta
ljubezenski	ljubezenski	pridevnik	1	o ljubezni
ljubezenski	ljubezenski	pridevnik	2	o spolnem odnosu
finansiranje	finansiranje	samostalnik	1	zagotavljanje denarnih sredstev
spleten	spleten	pridevnik	1	o pletenih oblačilih
spleten	spleten	pridevnik	2	kot kita
spleten	spleten	pridevnik	3	kot mreža
spleten	spleten	pridevnik	4	o prepletu različnih elementov
sir	sir	samostalnik	1	angleški plemiški naziv
kos	kos	samostalnik	1	ptica
grški	grški	pridevnik	1	o Grčiji in Grkih
grški	grški	pridevnik	2	o Antični Grčiji in Grkih
egiptovski	egiptovski	pridevnik	1	o Egiptu in Egipčanih
egiptovski	egiptovski	pridevnik	2	o Starem Egiptu in Egipčanih
egipčanski	egipčanski	pridevnik	1	o Starem Egiptu in Egipčanih
egipčanski	egipčanski	pridevnik	2	o Egiptu in Egipčanih
kitajski	kitajski	pridevnik	1	o Kitajski in Kitajcih
mehiški	mehiški	pridevnik	1	o Mehiki in Mehičanih
kitajski	kitajska	samostalnik	1	restavracija
kitajski	kitajska	samostalnik	2	hrana
tetica	tetica	samostalnik	1	sorodnica
tetica	tetica	samostalnik	2	ženska, gospa
paleolitik	paleolitik	samostalnik	1	obdobje prazgodovine
spletka	spletka	samostalnik	1	o neodkritem delovanju
spletka	spletka	samostalnik	2	spletna stran
plašč	plašč	samostalnik	1	oblačilo
plašč	plašč	samostalnik	2	prekrivna plast
plašč	plašč	samostalnik	3	pri kolesu
plašč	plašč	samostalnik	4	ploskev
plašč	plašč	samostalnik	5	o krinki
plašč	plašč	samostalnik	6	o zavetju
plašč	plašč	samostalnik	7	plast v notranjosti planeta
plašč	plašč	samostalnik	8	pri mehkužcih
invalidnost	invalidnost	samostalnik	1	zdravstveno stanje
invalidnost	invalidnost	samostalnik	2	o nesposobnosti
atlas	atlas	samostalnik	1	knjiga zemljevidov
atlas	atlas	samostalnik	2	zbirka iz neke stroke
atlas	atlas	samostalnik	3	blago
atlas	atlas	samostalnik	4	vretence
atlas	atlas	samostalnik	5	avto
atlas	atlas	samostalnik	6	o topološki ploskvi
atlas	atlas	samostalnik	7	metulj
atlas	atlas	samostalnik	8	v arhitekturi
tilnik	tilnik	samostalnik	1	del vratu
stopalo	stopalo	samostalnik	1	del noge
stopalo	stopalo	samostalnik	2	del nogavice
stopalo	stopalo	samostalnik	3	pedal
črevesje	črevesje	samostalnik	1	organ
črevesje	črevesje	samostalnik	2	notranjost
slina	slina	samostalnik	1	telesna tekočina
oblačilo	oblačilo	samostalnik	1	izdelek iz blaga
oblačilo	oblačilo	samostalnik	2	zunanja podoba
rokav	rokav	samostalnik	1	del oblačila
rokav	rokav	samostalnik	2	stranska struga
evolucija	evolucija	samostalnik	1	biološki proces
evolucija	evolucija	samostalnik	2	postopen razvoj
musliman	musliman	samostalnik	1	pripadnik muslimanske vere
matematik	matematik	samostalnik	1	strokovnjak
matematik	matematik	samostalnik	2	kdor dobro računa
kanonik	kanonik	samostalnik	1	škofov svetovalec
ambivalenten	ambivalenten	pridevnik	1	razdvojen; nasprotujoč;
balin	balin	samostalnik	1	najmanjša krogla pri balinanju
samozavest	samozavest	samostalnik	1	prepričanost vase
dolar	dolar	samostalnik	1	valuta
direkcija	direkcija	samostalnik	1	državna ustanova
direkcija	direkcija	samostalnik	2	vodstvo podjetja ali dogodka
esej	esej	samostalnik	1	literarno delo
esej	esej	samostalnik	2	pisni izdelek v šolstvu
digitalen	digitalen	pridevnik	1	o načinu zapisa podatkov
digitalen	digitalen	pridevnik	2	ki ima zaslon s številkami
doktorat	doktorat	samostalnik	1	stopnja izobrazbe
doktorat	doktorat	samostalnik	2	podiplomski študij
doktorat	doktorat	samostalnik	3	raziskovalno delo
rokenrol	rokenrol	samostalnik	1	vrsta glasbe
rokenrol	rokenrol	samostalnik	2	ples
gruzinščina	gruzinščina	samostalnik	1	gruzinski jezik
fag	fag	samostalnik	1	vrsta virusa
RNA	RNA	samostalnik	1	organska spojina
evharistija	evharistija	samostalnik	1	zakrament
evharistija	evharistija	samostalnik	2	posvečena hostija
fant	fantje	samostalnik	1	športna kategorija
leper	lepra	samostalnik	1	bolezen
dietileter	dietileter	samostalnik	1	tekočina
zajedalec	zajedalec	samostalnik	1	rastlinski ali živalski organizem
zajedalec	zajedalec	samostalnik	2	izkoriščevalska oseba
carina	carina	samostalnik	1	dajatev
carina	carina	samostalnik	2	organizacija
carina	carina	samostalnik	3	zgradba; območje;
drsalec	drsalec	samostalnik	1	športnik
drsalec	drsalec	samostalnik	2	kdor drsa
koncern	koncern	samostalnik	1	združba podjetij
encim	encim	samostalnik	1	snov
olimpijada	olimpijada	samostalnik	1	olimpijske igre
olimpijada	olimpijada	samostalnik	2	tekmovanje v stari Grčiji
olimpijada	olimpijada	samostalnik	3	večje tekmovanje
olimpiada	olimpiada	samostalnik	1	olimpijske igre
olimpiada	olimpiada	samostalnik	2	tekmovanje v stari Grčiji
olimpiada	olimpiada	samostalnik	3	večje tekmovanje
akulturacija	akulturacija	samostalnik	1	prilagoditev kulturnemu okolju
podbradek	podbradek	samostalnik	1	odebeljena koža pod brado
podbradek	podbradek	samostalnik	2	del glave
podbradek	podbradek	samostalnik	3	pri živalih
podbradek	podbradek	samostalnik	4	sestavni del godal
ribištvo	ribištvo	samostalnik	1	športna in gospodarska dejavnost
odstaviti	odstaviti	glagol	1	umakniti s štedilnika
odstaviti	odstaviti	glagol	2	odstraniti s položaja
odstaviti	odstaviti	glagol	3	prenehati dojiti
asignacija	asignacija	samostalnik	1	nakaznica
izgnanstvo	izgnanstvo	samostalnik	1	zaradi prisilnega izgona
izgnanstvo	izgnanstvo	samostalnik	2	zaradi situacije ali namena
izgnanstvo	izgnanstvo	samostalnik	3	izobčenje
pridevnik	pridevnik	samostalnik	1	besedna vrsta
figa	figa	samostalnik	1	plod
figa	figa	samostalnik	2	drevo ali grm
figa	figa	samostalnik	3	vrsta pričeske
figa	figa	samostalnik	4	iztrebek
abiturient	abiturient	samostalnik	1	maturant
opazovališče	opazovališče	samostalnik	1	kraj za opazovanje
anarhist	anarhist	samostalnik	1	privrženec anarhizma
trska	trska	samostalnik	1	morska riba
zelenika	zelenika	samostalnik	1	sladkovodna riba
kovač	kovač	samostalnik	1	morska riba
