iztočnica|besedna vrsta|številka pomena|indikator
recept|samostalnik|1|za izdajo zdravila
recept|samostalnik|2|pri kuhanju
recept|samostalnik|3|navodilo za pripravo
recept|samostalnik|4|navodilo; pravilo;
spleten|pridevnik|1|o internetu
vonj|samostalnik|1|zaznavna lastnost
vonj|samostalnik|2|dišava
vonj|samostalnik|3|voh
vonj|samostalnik|4|o občutku
dneven|pridevnik|1|o dnevu kot 24-urni enoti
dneven|pridevnik|2|vsakodneven
dneven|pridevnik|3|o aktivnem delu dneva
dneven|pridevnik|4|podnevi
dneven|pridevnik|5|o živali
doktor|samostalnik|1|znanstveni naziv
doktor|samostalnik|2|zdravnik
doktor|samostalnik|3|o obvladovanju področja ali spretnosti
doživeti|glagol|1|izkusiti; biti deležen;
doživeti|glagol|2|o telesnih stanjih
doživeti|glagol|3|zgoditi se
doživeti|glagol|4|o čustvih
doživeti|glagol|5|dočakati določeno starost
film|samostalnik|1|posneta zgodba
film|samostalnik|2|ustvarjalna dejavnost
film|samostalnik|3|trak za snemanje
film|samostalnik|4|tanek sloj
film|samostalnik|5|miselna predstava
izolirati|glagol|1|pri bolezni
izolirati|glagol|2|izločiti iz družbe
izolirati|glagol|3|z zaščitnim materialom
izolirati|glagol|4|izločiti snov
izolirati|glagol|5|razločiti od celote
klik|samostalnik|1|pri računalniku
klik|samostalnik|2|zvok
klik|samostalnik|3|miselni preskok
koncentracija|samostalnik|1|miselna zbranost
koncentracija|samostalnik|2|o količini snovi
koncentracija|samostalnik|3|zgoščenost
kos|samostalnik|1|del celote
kos|samostalnik|2|izdelek; primerek;
kos|samostalnik|3|o določeni količini
kraljica|samostalnik|1|vladarka
kraljica|samostalnik|2|kraljeva žena
kraljica|samostalnik|3|najpomembnejša predstavnica
kraljica|samostalnik|4|zmagovalka tekmovanja
kraljica|samostalnik|5|pomembna panoga ali disciplina
kraljica|samostalnik|6|šahovska figura
kraljica|samostalnik|7|samica
kraljica|samostalnik|8|igralna karta
kralj|samostalnik|1|vladar
kralj|samostalnik|2|najpomembnejši predstavnik
kralj|samostalnik|3|šahovska figura
kralj|samostalnik|4|igralna karta
ljubezenski|pridevnik|1|o ljubezni
ljubezenski|pridevnik|2|o spolnem odnosu
finansiranje|samostalnik|1|zagotavljanje denarnih sredstev
spleten|pridevnik|1|o pletenih oblačilih
spleten|pridevnik|2|kot kita
spleten|pridevnik|3|kot mreža
spleten|pridevnik|4|o prepletu različnih elementov
sir|samostalnik|1|angleški plemiški naziv
kos|samostalnik|1|ptica
grški|pridevnik|1|o Grčiji in Grkih
grški|pridevnik|2|o Antični Grčiji in Grkih
egiptovski|pridevnik|1|o Egiptu in Egipčanih
egiptovski|pridevnik|2|o Starem Egiptu in Egipčanih
egipčanski|pridevnik|1|o Starem Egiptu in Egipčanih
egipčanski|pridevnik|2|o Egiptu in Egipčanih
kitajski|pridevnik|1|o Kitajski in Kitajcih
mehiški|pridevnik|1|o Mehiki in Mehičanih
kitajska|samostalnik|1|restavracija
kitajska|samostalnik|2|hrana
tetica|samostalnik|1|sorodnica
tetica|samostalnik|2|ženska, gospa
paleolitik|samostalnik|1|obdobje prazgodovine
spletka|samostalnik|1|o neodkritem delovanju
spletka|samostalnik|2|spletna stran
plašč|samostalnik|1|oblačilo
plašč|samostalnik|2|prekrivna plast
plašč|samostalnik|3|pri kolesu
plašč|samostalnik|4|ploskev
plašč|samostalnik|5|o krinki
